Entity,Life expectancy,Health expenditure
Afghanistan,66.035,41454762
Africa,,1480770740
Africa (UN),63.843,1480770527
Aland Islands,,
Albania,79.602,2811660
Algeria,76.261,46164221
American Samoa,72.852,47543
Americas (UN),,1041794259
Andorra,84.041,80868
Angola,64.617,36749907
Anguilla,79.311,14435
Antigua and Barbuda,77.598,93333
Argentina,77.395,45538402
Armenia,75.683,2943395
Aruba,76.353,107946
Asia,,4776659632
Asia (UN),74.566,4778004495
Asia (excl. China and India),,1839126400
Australia,83.923,26451125
Austria,81.956,9130434
Austria-Hungary,,
Azerbaijan,74.429,10318210
Bahamas,74.552,399452
Bahrain,81.284,1569674
Bangladesh,74.672,171466986
Barbados,76.178,282348
Belarus,74.434,9115680
Belgium,82.115,11712894
Belize,73.566,411115
Benin,60.774,14111035
Bermuda,82.309,64721
Bhutan,72.975,786387
Bolivia,68.581,12244161
Bonaire Sint Eustatius and Saba,77.436,29919
Bosnia and Herzegovina,77.85,3185071
Botswana,69.163,2480242
Brazil,75.848,211140731
British Indian Ocean Territory,,
British Virgin Islands,77.276,39008
Brunei,75.327,458959
Bulgaria,75.636,6795804
Burkina Faso,61.092,23025778
Burundi,63.651,13689455
Cambodia,70.668,17423881
Cameroon,63.7,28372688
Canada,82.63,39299099
Cape Verde,76.059,522335
Cayman Islands,80.358,73055
Central African Republic,57.408,5152417
Chad,55.069,19319073
Chile,81.167,19658834
China,77.953,1422584937
Christmas Island,,
Cocos Islands,,
Colombia,77.725,52321152
Comoros,66.777,850390
Congo,65.772,6182889
Cook Islands,75.282,14243
Costa Rica,80.799,5105527
Cote d'Ivoire,61.944,31165651
Croatia,78.58,3896024
Cuba,78.085,11019931
Curacao,76.8,185437
Cyprus,81.648,1344979
Czechia,79.834,10809722
Czechoslovakia,,
Democratic Republic of Congo,61.895,105789733
Democratic Republic of Vietnam,,
Denmark,81.933,5948134
Djibouti,65.987,1152951
Dominica,71.132,66531
Dominican Republic,73.72,11331268
Duchy of Modena and Reggio,,
Duchy of Parma and Piacenza,,
East Germany,,
East Timor,67.689,1384292
Ecuador,77.392,17980079
Egypt,71.633,114535772
El Salvador,72.099,6309628
Equatorial Guinea,63.707,1847556
Eritrea,68.624,3470392
Estonia,79.153,1367194
Eswatini,64.123,1230508
Ethiopia,67.315,128691696
Ethiopia (former),,
Europe,,746948103
Europe (UN),79.059,745602869
Europe (excl. Russia),,609583296
European Union (27),,450657571
Falkland Islands,79.213,3498
Faroe Islands,80.179,54738
Federal Republic of Central America,,
Fiji,67.316,924150
Finland,81.91,5601185
France,83.325,66438828
French Guiana,76.978,303409
French Polynesia,84.07,281124
Gabon,68.337,2484790
Gambia,65.86,2697848
Georgia,74.496,3807494
Germany,81.378,84548234
Ghana,65.498,33787915
Gibraltar,83.553,38493
Grand Duchy of Baden,,
Grand Duchy of Tuscany,,
Great Colombia,,
Greece,81.857,10242909
Greenland,70.055,55951
Grenada,75.205,117093
Guadeloupe,82.05,376519
Guam,77.209,166523
Guatemala,72.602,18124842
Guernsey,83.274,64042
Guinea,60.74,14405469
Guinea-Bissau,64.085,2153344
Guyana,70.18,826360
Haiti,64.936,11637402
High-income countries,81.435,1259131468
Honduras,72.884,10644855
Hong Kong,85.511,7442738
Hungary,77.024,9686463
Iceland,82.691,387559
India,72.003,1438069597
Indonesia,71.146,281190068
Iran,77.654,90608708
Iraq,72.324,45074055
Ireland,82.412,5196629
Isle of Man,80.999,84180
Israel,82.408,9256311
Italy,83.716,59499452
Jamaica,71.479,2839785
Japan,84.712,124370947
Jersey,79.707,103679
Jordan,77.814,11439219
Kazakhstan,74.402,20330106
Kenya,63.646,55339007
Kingdom of Bavaria,,
Kingdom of Sardinia,,
Kingdom of Saxony,,
Kingdom of Wurttemberg,,
Kingdom of the Two Sicilies,,
Kiribati,66.473,132539
Korea (former),,
Kosovo,78.033,1700039
Kuwait,80.405,4838780
Kyrgyzstan,71.677,7073523
Laos,68.964,7665002
Latin America and the Caribbean (UN),75.692,658891516
Latvia,76.19,1882400
Least developed countries,66.351,
Lebanon,77.817,5773492
Lesotho,57.375,2311476
Less developed regions,71.728,
"Less developed regions, excluding China",70.221,
"Less developed regions, excluding least developed countries",72.937,
Liberia,62.163,5493034
Libya,69.339,7305660
Liechtenstein,83.63,39621
Lithuania,76.025,2854105
Low-income countries,64.938,736466460
Lower-middle-income countries,69.585,3253459279
Luxembourg,82.229,665101
Macao,83.075,713916
Madagascar,63.632,31195936
Malawi,67.353,21104480
Malaysia,76.657,35126295
Maldives,81.041,526009
Mali,60.439,23769129
Malta,83.299,532964
Marshall Islands,66.945,38849
Martinique,82.565,346008
Mauritania,68.484,5022440
Mauritius,74.926,1273590
Mayotte,76.054,316028
Mexico,75.069,129739764
Micronesia (country),67.198,112646
Moldova,71.198,3067071
Monaco,86.372,38978
Mongolia,71.734,3431939
Montenegro,77.087,633557
Montserrat,76.186,4440
More developed regions,79.878,
Morocco,75.313,37712517
Mozambique,63.611,33635165
Myanmar,66.889,54133801
Namibia,67.385,2963101
Nauru,62.109,11900
Nepal,70.354,29694614
Netherlands,82.158,18092525
Netherlands Antilles,,
New Caledonia,78.766,289880
New Zealand,82.088,5172839
Nicaragua,74.947,6823618
Niger,61.183,26159862
Nigeria,54.462,227882949
Niue,69.978,1841
Norfolk Island,,
North America,,608770557
North Korea,73.642,26418196
North Macedonia,77.395,1831800
Northern America (UN),79.642,382902740
Northern Mariana Islands,78.808,45165
Norway,83.308,5519166
Oceania,,45563133
Oceania (UN),79.146,45562792
Oman,80.031,5049268
Orange Free State,,
Pakistan,67.649,247504504
Pakistan (former),,
Palau,69.269,17750
Palestine,65.17,5409201
Panama,79.594,4458759
Papua New Guinea,66.134,10389638
Paraguay,73.844,6844152
Peru,77.74,33845617
Philippines,69.833,114891200
Pitcairn,,
Poland,78.633,38762847
Portugal,82.36,10430735
Puerto Rico,81.69,3242023
Qatar,82.368,2979087
Republic of Vietnam,,
Reunion,83.547,874883
Romania,75.938,19118481
Russia,73.154,145440504
Rwanda,67.785,13954474
Saint Barthelemy,84.29,11112
Saint Helena,76.787,5316
Saint Kitts and Nevis,72.145,46783
Saint Lucia,72.697,179293
Saint Martin (French part),80.224,27545
Saint Pierre and Miquelon,76.758,5707
Saint Vincent and the Grenadines,71.23,101331
Samoa,71.698,216674
San Marino,85.706,33761
Sao Tome and Principe,69.718,230881
Saudi Arabia,78.732,33264288
Senegal,68.683,18077573
Serbia,76.769,6773203
Serbia and Montenegro,,
Seychelles,72.862,127961
Sierra Leone,61.786,8460523
Singapore,83.736,5789091
Sint Maarten (Dutch part),76.371,42775
Slovakia,78.341,5518057
Slovenia,81.603,2118395
Solomon Islands,70.528,800013
Somalia,58.816,18358621
South Africa,66.139,63212386
South America,,433024230
South America (excl. Brazil),,224571280
South Georgia and the South Sandwich Islands,,
South Korea,84.329,51748744
South Sudan,57.617,11483373
Spain,83.67,47911583
Sri Lanka,77.483,22971616
Sudan,66.331,50042799
Suriname,73.631,628892
Svalbard and Jan Mayen,,2400
Sweden,83.262,10551493
Switzerland,83.954,8870564
Syria,72.12,23594622
Taiwan,80.559,23317145
Tajikistan,71.79,10389808
Tanzania,66.995,66617607
Thailand,76.412,71702438
Togo,62.739,9304344
Tokelau,77.051,2424
Tonga,72.895,104614
Trinidad and Tobago,73.49,1502936
Tunisia,76.508,12200434
Turkey,77.156,87270503
Turkmenistan,70.073,7364437
Turks and Caicos Islands,78.008,46219
Tuvalu,67.105,9837
USSR,,
Uganda,68.252,48656604
Ukraine,73.422,37732832
United Arab Emirates,82.909,10642089
United Kingdom,81.302,68682965
United States,79.304,343477332
United States Virgin Islands,75.472,85712
Upper-middle-income countries,75.881,2839926083
Uruguay,78.138,3388083
Uzbekistan,72.388,35652309
Vanuatu,71.477,320422
Vatican,82.985,501
Venezuela,72.514,28300860
Vietnam,74.588,100352189
Wallis and Futuna,78.629,11394
West Germany,,
Western Sahara,71.385,579735
World,73.169,8091734935
Yemen,69.295,39390800
Yemen Arab Republic,,
Yemen People's Republic,,
Yugoslavia,,
Zambia,66.349,20723968
Zimbabwe,62.775,16340829
